Punch (forward thrust)
YPR(deg)-X,YPR(deg)-Y,YPR(deg)-Z,Acceleration(g)-X,Acceleration(g)-Y,Acceleration(g)-Z
-10.5, -1.1, 80.4, -0.26, -1.01, -0.85
-14.7, 136.8, 138.9, -1.53, -0.82, 0.94
-20.7, -166.8, 169.2, 0.07, -0.34, 1.78
Collecting data ...
YPR(deg)-X,YPR(deg)-Y,YPR(deg)-Z,Acceleration(g)-X,Acceleration(g)-Y,Acceleration(g)-Z
-18.4, 123.3, 115.0, 1.49, -1.50, 0.70
85.1, 156.1, 154.3, -0.71, -0.68, 1.42
-23.7, 25.0, -56.8, -1.17, -1.92, -1.36
130.7, 15.5, 72.7, -0.61, 1.92, -0.65
57.3, 82.2, 67.4, 1.90, -0.26, -0.11
-54.5, -19.8, -54.5, 0.49, 1.14, -0.81
45.9, 125.8, -151.8, 1.14, 0.97, 1.81
-38.5, -92.3, 143.6, 0.33, -0.10, 0.14
43.3, -37.0, 25.5, 0.66, -0.39, -0.81
39.2, -10.8, 8.4, 0.38, -0.31, 1.92
35.3, -172.2, 130.5, 0.57, 0.71, -1.19
-35.0, -66.1, -69.1, -0.14, 1.60, -0.61
-24.0, -78.7, -52.7, 0.99, 0.18, -0.14
-11.6, -145.2, 108.7, 0.81, -1.30, 0.43
73.7, 130.1, 94.5, 1.06, 1.67, 0.18
-44.2, -114.9, -116.1, 0.71, 0.43, 0.20
11.3, 37.1, -72.7, -1.82, 1.90, -0.59
-22.9, -3.5, 50.7, -0.27, -0.83, -0.70
-33.0, 70.5, 82.2, 0.27, -1.17, -0.17
46.6, -66.5, 3.6, 0.36, -0.13, 1.94
15.9, -105.5, -119.7, -1.80, 0.62, 0.35
-55.4, 148.3, -125.6, 1.68, -1.45, 1.82
34.6, -55.0, 61.6, -1.98, -1.48, -0.80
30.9, -125.1, 114.8, -0.41, 1.46, 1.17
-65.0, -55.6, 20.7, 1.64, -0.49, -1.30
-41.5, 107.8, 111.1, 1.16, -0.74, 0.28
79.3, -4.5, -37.9, -0.21, 1.35, -1.74
-40.2, 9.1, 77.2, -0.60, -1.33, -0.30
-1.4, 18.4, 84.2, -0.81, -1.29, -0.13
-98.7, -151.0, 97.3, 0.64, -1.78, 0.23
108.1, -13.2, -85.3, 0.25, -1.44, -0.21
-55.2, -5.6, 52.2, -0.10, 1.99, -1.56
-14.4, 131.1, 123.1, 1.47, -1.60, 1.04
-71.1, -49.1, 19.1, 1.53, -0.56, -1.59
-38.0, 29.7, 54.3, -1.68, -1.79, -1.28
-46.9, 163.4, -175.9, -1.16, 0.17, -1.56
48.7, -32.0, -53.2, 1.41, -1.61, -1.79
-39.8, 55.6, -30.3, 1.19, 0.81, -1.39
-54.6, 108.1, -101.0, 1.04, 0.80, 0.16
-15.9, -167.8, -113.2, 0.13, -1.56, 1.05
-44.6, 83.9, -35.9, 0.99, 0.16, -0.22
-63.1, 111.1, -139.2, 1.72, 0.47, 0.54
-57.9, -9.6, 18.8, -0.11, -0.62, -1.83
14.0, 11.2, 77.4, -0.73, -1.53, -0.34
37.7, 129.2, 115.1, 1.21, -1.76, 0.82
-80.1, 32.3, -70.1, -1.71, 1.94, -0.70
15.4, -7.1, 68.4, -0.11, 1.77, -0.88
Collecting data ...
YPR(deg)-X,YPR(deg)-Y,YPR(deg)-Z,Acceleration(g)-X,Acceleration(g)-Y,Acceleration(g)-Z
-40.7, 117.9, 137.9, 1.20, -0.94, 1.04
-40.3, 25.2, -75.2, -1.20, -1.84, -0.57
53.5, 164.1, -171.8, -0.90, 0.37, -1.41
38.6, 135.2, -160.0, -1.18, 0.36, 0.97
-38.5, -27.4, 44.8, 1.23, -1.89, -1.90
-38.0, -149.1, -127.3, 0.69, 1.12, 0.85
38.9, 116.1, -139.4, -0.14, 1.27, 1.48
47.1, 73.0, 34.2, -0.64, -0.77, -1.13
144.0, 168.6, 162.6, -0.33, -0.25, 0.79
6.3, 35.1, -76.1, -1.44, 1.77, -0.44
-50.0, 39.2, 12.7, -1.95, -0.48, 1.86
-133.4, 31.7, -75.9, -0.59, 0.51, -0.13
17.1, -19.7, 40.1, 0.52, -1.42, -1.70
-1.8, 111.7, 171.2, 1.20, -0.15, 0.98
51.3, 76.0, -40.8, -1.68, 0.23, -0.26
60.6, -111.1, -99.5, -1.29, 1.21, 0.20
98.9, -22.0, -62.9, 0.44, 1.96, -1.00
-57.1, 165.4, -100.3, -1.26, -0.95, 0.55
11.1, 15.0, -0.7, -0.99, 0.03, -1.96
47.1, -105.9, 155.1, -1.94, -0.30, 0.65
18.0, 25.4, -74.8, 1.67, -0.21, -1.03
-167.6, -3.0, 89.1, -0.36, 1.92, -0.03
57.4, 162.4, -160.4, -1.16, 0.73, -1.96
2.1, -11.1, 72.3, -0.33, -0.66, -0.21
9.1, 122.7, -160.4, 1.29, 0.48, 1.35
2.8, 104.6, 102.0, 1.35, -0.55, 0.12
64.3, 43.3, -6.6, 1.95, 0.19, -1.65
69.3, -11.7, 60.4, -0.01, -1.99, -1.13
-46.6, 104.5, 96.7, -1.88, -0.36, 0.04
9.7, -2.7, -83.8, -0.36, -1.52, -0.27
-90.2, -49.8, 88.3, 0.59, -0.90, -0.03
-45.2, 22.9, 51.8, -0.73, -0.48, -0.38
55.4, 112.4, 151.1, 1.58, -0.39, 0.70
24.8, 153.3, 103.8, 1.00, -0.93, 1.21
73.6, -154.8, -128.1, 0.28, 1.22, 0.95
9.0, 27.3, 21.4, -1.18, -0.52, -1.32
-32.7, 71.5, 77.8, 1.17, -0.78, -0.17
-113.2, 146.2, -133.6, -1.42, 1.02, 0.98
26.9, -133.2, 107.1, -1.07, 0.94, 0.94
31.5, -104.9, 101.1, 1.93, -0.63, 0.12
Collecting data ...
YPR(deg)-X,YPR(deg)-Y,YPR(deg)-Z,Acceleration(g)-X,Acceleration(g)-Y,Acceleration(g)-Z
-12.8, 137.6, -169.7, -1.74, 0.28, 1.57
-66.7, -121.6, 100.9, 1.94, -1.35, 0.26
-73.0, -38.1, 11.7, 0.41, -0.18, -0.88
-32.3, 86.5, -31.2, 1.49, 0.07, -0.12
-60.0, -52.3, 53.8, -1.76, -1.58, -1.16
-48.4, -33.6, 6.0, 1.80, -0.33, 0.86
9.1, 137.8, -111.8, -1.44, 1.18, 0.47
51.2, 4.2, -41.6, -0.39, 0.88, -0.99
-77.6, -54.1, 48.0, 1.21, -0.81, -0.73
-11.5, 12.5, 3.4, -0.69, -0.11, -1.78
-30.9, -110.9, -111.1, -1.50, 1.00, 0.38
34.2, -47.2, 36.7, -1.76, -1.40, -1.88
55.1, -129.4, -155.7, -1.06, 1.10, -1.57
-21.5, -164.9, -125.1, 0.18, 1.49, 1.05
-61.6, -5.2, -4.6, -0.12, 0.17, 1.92
-37.0, -152.4, 120.9, 1.63, 0.69, 1.98
47.3, 100.5, -171.2, -1.85, 0.16, 1.00
-61.7, 55.5, -58.8, -1.66, 0.75, -0.45
44.2, -136.0, -166.1, 1.33, 0.46, 1.85
50.8, 100.8, 137.1, -1.74, -0.67, 0.72
-31.4, -36.7, -47.8, 0.97, 1.49, -1.36
-7.0, 101.4, 102.0, 1.68, -0.35, 0.07
-39.8, -124.7, 148.8, 1.18, -0.61, 1.02
0.1, -131.8, 139.6, 0.99, -0.88, 1.05
-57.2, -64.6, -59.4, 0.11, 0.27, -0.16
-74.9, -36.6, 63.7, 1.26, 1.80, -1.09
68.1, -178.7, -101.4, -0.50, -1.16, 0.57
-7.7, 9.2, 82.9, -1.11, 0.59, -0.43
112.1, 127.5, 116.2, -1.19, -0.43, 0.21
-25.7, -58.8, -74.7, -0.72, -1.76, -0.61
-20.9, 179.2, -116.7, -0.55, 0.55, 0.28
23.9, -115.0, 168.6, 0.42, -0.09, 0.44
-41.7, 85.2, -60.5, 1.63, 0.13, -0.08
60.4, -131.0, 177.1, 1.52, -0.09, 1.78
-65.4, -26.3, -15.8, 0.36, 0.49, -1.75
-37.7, -63.6, -55.0, 1.39, 0.78, -0.55
50.9, 116.5, -175.8, -1.03, 0.01, 0.24
7.2, -167.4, -100.5, -0.26, 1.27, 0.23
57.8, -60.7, -27.8, -1.11, 0.90, -1.72
-0.9, 10.3, 82.7, -1.11, 0.93, -0.39
94.4, 5.0, 29.5, -0.75, -1.14, 1.98
1.9, -144.0, -90.6, 1.81, -0.76, 0.04
44.3, -173.0, -125.8, -0.13, -1.24, 1.99
53.7, -76.8, -45.4, 0.17, 0.79, -0.78
-1.1, -178.2, 90.9, -0.39, -0.67, 0.07
