Horizontal Swing
Collecting data ...
YPR(deg)-X,YPR(deg)-Y,YPR(deg)-Z,Acceleration(g)-X,Acceleration(g)-Y,Acceleration(g)-Z
-71.3, -153.0, 121.6, 0.90, 1.59, 1.48
-22.5, -167.7, 116.7, 0.34, 0.17, 1.93
37.7, -157.6, 134.9, 1.04, 1.19, -1.21
-43.2, -104.2, -147.5, -0.07, 0.62, 0.97
-39.5, -82.0, -37.2, -0.19, 0.38, -0.50
-49.2, 108.4, -159.9, 0.25, 0.36, 0.97
-62.0, 119.8, -128.7, 0.47, 1.30, 1.04
120.5, 165.1, 101.5, -1.33, 1.42, 0.52
176.7, 158.1, 129.1, -0.98, -0.68, 0.56
-21.8, 20.8, 51.0, -1.61, 1.98, -1.64
-37.1, 22.0, 6.3, -1.63, -0.27, 1.54
49.1, 146.6, 111.7, -1.18, -0.78, 0.31
-31.8, 2.2, -55.5, -0.84, -1.17, -1.96
-54.2, -126.1, 155.0, 1.91, -0.81, 1.72
73.8, -35.7, -79.5, 0.74, -1.99, -0.38
-49.0, -67.0, -15.7, -1.61, 0.36, -1.30
-20.8, -162.3, -114.0, 0.23, -1.12, 1.27
-70.9, 33.4, -86.7, 0.97, -0.58, -0.21
Collecting data ...
YPR(deg)-X,YPR(deg)-Y,YPR(deg)-Z,Acceleration(g)-X,Acceleration(g)-Y,Acceleration(g)-Z
26.8, 150.1, 125.9, -1.45, -1.49, 1.08
-128.4, 158.5, -115.4, -0.61, 0.49, 0.23
24.7, 135.0, -104.0, 1.32, -1.79, 0.55
173.7, 15.7, 79.2, -0.45, -0.19, -0.04
-43.1, -170.2, 104.7, 0.32, -0.06, 1.07
91.7, 149.7, 101.3, -1.08, -1.15, 0.23
17.3, -5.8, -64.4, -0.14, -1.65, -1.12
76.0, -23.0, -75.6, 1.04, -0.70, -0.85
-47.7, 36.4, 16.1, -1.88, -0.56, -1.92
53.7, -17.4, -31.7, 0.67, 1.82, 1.06
82.9, -33.9, -45.0, 0.24, 0.69, -0.69
-8.1, -131.2, 91.2, 0.82, -1.14, 0.02
19.5, -142.3, -150.7, 0.63, 0.71, 1.25
-74.0, 136.0, -173.3, -1.09, 0.07, 0.61
20.6, 16.2, -73.3, -1.06, 1.85, -0.56
-44.5, -66.7, -33.3, 1.81, 0.57, -0.87
33.5, -54.4, 57.4, -1.57, -1.82, -1.17
36.1, -116.3, 113.2, -1.95, -1.20, 0.52
-21.0, -25.1, 79.8, 1.48, -0.44, -0.79
-24.7, 144.7, 112.5, 0.97, 0.87, 1.31
-36.2, 68.7, -42.0, -1.64, 0.27, -0.29
29.6, -127.2, -165.8, 1.32, 0.37, 1.43
8.4, -11.8, 83.1, 0.57, -1.37, -0.65
28.9, -104.2, 120.4, 1.49, -0.44, 0.27
27.2, 3.9, 61.4, -0.85, 0.38, -1.97
40.8, 132.9, -144.6, 0.10, 1.80, -1.47
47.1, 32.8, 58.3, 0.62, 0.28, 1.70
-39.1, -54.8, 41.6, 0.17, -0.34, -0.38
-24.0, 19.9, -52.6, -1.27, 1.57, -1.20
1.8, 121.9, -155.4, 1.66, 0.47, 1.01
147.6, -131.0, -95.3, -0.20, 0.30, 0.03
-156.8, 2.4, 7.1, -0.62, -0.21, -1.69
-63.9, -128.1, 132.7, -1.76, -1.63, 1.50
-37.3, -39.7, -57.0, 0.46, 1.05, -0.68
33.4, -42.5, -86.1, -1.85, -1.02, -0.20
130.7, -24.7, -10.7, 0.10, 0.28, -1.47
27.3, 98.1, -112.2, 0.10, 0.42, 0.17
-10.7, 156.4, 119.7, -1.34, -1.36, 0.76
-79.7, -19.9, 47.0, 0.21, -1.79, -1.67
-49.8, 112.4, -178.0, 0.58, 0.02, 1.12
-47.9, -114.4, -123.9, 0.15, 0.30, 0.20
96.6, 6.7, 70.4, -1.03, 1.15, -1.02
-53.3, -153.6, -173.9, 0.07, 0.15, 1.50
-62.0, 15.9, 21.8, -1.30, -0.89, 1.77
-53.8, -8.1, 57.6, -0.23, 1.73, -1.44
-57.7, 131.2, -120.5, 1.09, 1.74, 1.02
-9.0, -164.5, -94.1, -0.11, 1.90, 0.14
-45.5, -114.5, -139.2, 1.17, 0.54, 0.63
-27.6, -44.9, -69.8, 1.93, -1.58, -0.89
-81.8, -34.8, 57.8, 0.21, -1.04, -0.65
Collecting data ...
YPR(deg)-X,YPR(deg)-Y,YPR(deg)-Z,Acceleration(g)-X,Acceleration(g)-Y,Acceleration(g)-Z
-34.1, -116.2, -113.1, -0.75, 1.66, 0.71
-27.8, 153.3, -159.7, -1.22, 0.56, 1.51
25.1, -43.4, 71.7, -1.58, 1.15, -0.94
1.5, 62.6, -81.3, 0.18, 1.74, -0.27
5.9, 25.1, -62.6, -0.92, 0.97, -0.50
-62.6, 16.9, 24.5, -1.12, -0.97, 1.87
38.7, 123.6, -141.5, 1.59, 0.83, 1.04
14.8, -3.8, 76.2, -0.04, -1.40, -1.32
-39.2, -36.6, -35.3, -1.86, 1.96, 1.24
18.6, -72.8, 10.7, -1.73, -0.15, -0.80
48.4, -112.2, -98.0, -0.83, 1.44, 0.20
-57.0, 145.8, -125.3, 1.73, -1.70, 1.63
-52.8, 34.4, -38.6, 1.77, 1.71, 1.86
-14.1, 165.7, 143.4, -0.71, -0.82, 1.11
-31.6, -121.1, -119.8, -1.44, 1.53, 0.88
0.6, -178.8, 92.3, -0.39, -1.78, 0.07
-57.6, -139.5, -171.7, 0.67, 0.19, 1.27
-105.9, -121.7, 109.1, 0.06, -0.29, 0.10
31.4, -175.7, -128.3, -0.18, -0.86, -1.53
-28.1, 125.9, 91.9, 0.18, 1.58, 0.08
-15.1, -174.0, 139.3, -0.44, -0.29, 0.34
-80.4, 22.5, -60.9, -1.62, -1.62, -1.33
-32.5, 125.1, 102.2, 1.71, -1.15, 0.25
39.6, -167.8, -122.5, -0.11, 1.94, 1.23
7.1, 34.1, -66.4, 1.80, -1.84, -0.95
-3.1, -164.3, -112.2, 0.13, -1.56, 1.00
160.8, 6.7, 80.1, -0.81, -1.72, -0.30
-49.3, 83.0, -60.6, -1.40, 0.51, -0.29
53.5, -81.0, -73.1, -1.00, 0.55, -0.17
30.6, -136.7, 161.8, 0.89, -0.51, 1.52
49.7, -72.6, -80.9, -0.43, 1.29, -0.21
46.5, -59.8, 28.2, 1.29, -0.53, -0.98
-23.7, 25.4, -19.3, -1.51, 0.63, -1.83
-171.7, 9.6, -55.4, -0.74, 0.70, -0.49
-5.9, -142.6, -114.1, 1.18, -1.90, 0.94
-70.7, -45.4, 84.1, -1.74, 1.19, -0.30
15.4, 114.5, -153.6, 1.49, 0.40, 0.80
27.3, 57.6, -49.3, -1.82, 0.61, -0.52
-59.4, 173.4, -147.0, -0.85, 1.42, -1.80
Collecting data ...
YPR(deg)-X,YPR(deg)-Y,YPR(deg)-Z,Acceleration(g)-X,Acceleration(g)-Y,Acceleration(g)-Z
54.7, 57.3, 55.3, 0.34, -1.69, -1.17
-36.1, 131.4, 137.9, -1.96, -0.89, 0.98
70.2, -134.5, -92.3, -1.97, -1.56, 0.10
-16.9, 16.4, 53.0, -1.12, -1.81, -1.36
42.7, -99.7, 113.8, -0.94, -0.55, 0.24
-58.6, -141.7, 162.6, 0.91, -0.52, 1.65
-14.3, 63.8, 88.4, 1.39, -1.06, -0.03
52.1, -51.3, -0.0, 0.88, 0.00, -1.07
-2.6, 26.2, -51.9, -1.30, 1.36, -1.07
51.9, -113.9, 115.8, 0.33, -0.31, 0.15
-40.8, -160.6, 159.4, 0.61, -1.05, -1.19
-23.4, -43.3, -83.6, 1.63, -1.82, -0.24
-24.7, -132.8, -109.7, -1.54, -1.48, 0.91
23.3, 112.0, -110.1, 1.34, 0.86, 0.31
19.2, 42.1, 85.0, 1.33, 1.52, -0.22
-66.0, -121.5, 104.6, -1.61, -1.64, 0.43
27.0, 108.9, 139.9, 0.94, -0.58, 0.70
-23.4, 166.2, 122.6, -1.02, 1.82, 1.40
19.9, 19.4, 78.5, 1.95, -0.57, -0.93
68.4, 45.0, 52.9, 1.81, -1.41, -1.07
-73.7, -25.3, -65.3, -0.12, 0.57, -0.27
12.8, 140.6, -116.2, -1.77, 1.48, 0.72
37.7, 1.9, 12.1, -0.53, -0.37, -1.70
154.3, -8.0, -49.4, -0.37, 0.59, -0.51
-175.0, 9.6, 89.8, -0.54, -0.32, -0.01
-23.1, 141.9, 103.7, 1.65, 1.78, 0.54
29.9, 125.3, -96.1, 0.59, 2.00, 0.21
74.2, 144.6, 169.5, -1.10, -0.14, 0.75
-113.6, 153.0, 163.4, -0.93, -0.21, 0.68
20.9, -7.8, -77.5, -0.08, -0.33, -0.82
-7.0, -58.4, -31.5, 1.48, 0.66, -1.09
24.6, -42.7, 77.2, 1.64, 1.63, -0.54
4.2, 154.9, 92.7, 1.57, 0.06, 0.18
118.9, -24.7, -54.2, 0.05, 0.90, -0.66
-6.4, -130.6, 97.1, 1.93, 1.95, 0.25
-17.4, -42.4, 71.0, 0.66, -1.16, -0.40
