Raise hand and hold
Collecting data ...
YPR(deg)-X,YPR(deg)-Y,YPR(deg)-Z,Acceleration(g)-X,Acceleration(g)-Y,Acceleration(g)-Z
37.0, -165.8, -98.7, 0.06, -1.55, 0.38
5.4, 179.8, -97.7, -0.58, -0.77, 0.44
29.4, -175.5, 120.3, -0.24, 0.07, -1.70
82.6, 123.5, 141.6, -1.72, -0.46, 0.58
32.0, 7.4, 23.9, -0.97, -1.12, 1.47
41.9, -42.8, -77.0, 1.01, 1.94, -0.46
-13.1, 78.7, -89.1, 1.34, 0.38, -0.02
-9.9, -20.7, -89.9, -0.45, 1.07, -0.01
-35.4, 113.7, -157.7, 0.13, 0.51, 1.20
-51.3, 125.7, -167.8, -0.39, 0.54, -1.55
5.9, 22.8, -32.6, -1.26, 0.48, -0.74
-32.0, 54.6, 63.8, 0.39, -1.72, -0.85
64.9, -52.5, -89.3, 1.74, 1.99, -0.03
38.2, 33.1, 67.8, 1.42, 1.52, -1.01
74.6, -137.1, -169.8, 0.72, 0.30, 1.65
28.5, -139.3, -93.9, 1.19, -1.66, 0.16
17.2, -173.4, 131.2, -0.64, -0.82, 0.71
-7.3, -36.4, 80.7, 1.80, 0.57, -0.56
54.8, -114.4, -152.7, -1.05, 0.77, 1.49
-23.5, -137.7, -96.3, 1.30, -1.80, 0.24
-10.9, -109.1, -102.7, 0.83, 0.52, 0.12
-79.0, -41.7, 85.8, 1.05, -1.97, -0.14
-11.0, -7.7, 5.2, -0.54, -0.11, -1.21
-13.3, -175.3, 103.5, -0.40, 0.32, 0.88
44.0, 107.4, -140.8, -0.12, 0.67, 0.82
46.0, 106.8, 139.7, -0.70, -0.78, 0.92
-1.1, 83.9, 35.6, 1.74, -0.10, -0.13
109.1, 152.6, 96.9, -1.55, -1.59, 0.19
10.2, -111.1, 127.7, 1.20, -0.59, 0.45
44.9, -128.8, -138.1, 0.78, 0.80, 0.90
-47.4, -162.0, -164.7, 0.52, 1.01, -0.32
-78.6, 151.0, -115.6, 1.56, -1.21, 1.34
34.9, -105.8, 163.5, -1.45, -0.26, 0.89
-29.6, -176.0, -116.3, -0.38, 0.20, -1.92
-43.7, -153.0, 109.4, 1.78, -0.61, 1.62
51.3, -121.6, 176.0, 1.67, -0.10, 1.47
-79.1, 154.9, -123.1, 1.91, -1.52, 1.61
-72.5, -177.4, -177.8, -0.59, 0.10, -1.41
24.6, -121.7, 145.5, 1.76, -0.86, 1.26
-21.2, 44.8, -85.5, 0.15, -0.85, -0.25
Collecting data ...
YPR(deg)-X,YPR(deg)-Y,YPR(deg)-Z,Acceleration(g)-X,Acceleration(g)-Y,Acceleration(g)-Z
46.8, 61.7, -20.6, -0.06, 0.65, -1.73
22.3, 13.4, -20.0, -1.01, 0.55, -1.51
-23.7, -22.2, -63.3, 1.21, 0.03, 1.97
-50.0, 56.8, -43.4, -0.03, 1.53, -1.62
-46.6, -9.6, -33.7, -0.53, 0.32, -0.48
-22.7, 168.3, 169.7, -1.08, -0.38, -1.90
-44.5, -20.1, -16.1, 0.33, 0.74, 1.44
-31.4, 73.1, 64.0, 0.12, -0.88, -0.43
-37.8, -131.6, 142.3, 0.84, -0.83, 1.08
-49.2, -19.7, 51.3, 0.07, -1.67, -1.35
81.4, 144.5, 127.1, 1.81, -1.65, 1.25
-32.6, -138.4, 148.9, 0.93, -0.99, 1.65
55.0, -152.0, -176.7, 0.26, 0.12, 1.99
-43.1, -47.8, 53.4, -1.57, 1.64, -1.76
-27.1, 1.1, 61.8, -0.92, -0.67, 1.49
56.3, 126.5, 97.1, 0.26, 1.91, 0.25
-4.4, 1.2, -51.6, -0.91, 1.62, -1.28
-27.3, -154.8, -120.2, -0.35, 0.95, 0.54
-68.0, 111.4, -162.0, -1.92, 0.14, 0.43
-45.2, -18.3, 19.1, 0.34, -1.09, 0.83
51.7, -23.5, 58.6, -0.00, -1.47, -0.90
-42.6, -113.6, -169.3, 1.38, 0.18, 0.91
-15.7, 3.5, -62.1, -0.89, -1.49, -1.33
25.5, -47.4, 65.6, 1.45, -1.81, -0.82
-45.9, 30.5, -68.3, -1.86, 1.82, -0.73
20.7, 149.2, -111.4, -1.58, 1.40, 0.55
26.6, 15.3, 31.9, -0.97, -0.57, -0.91
67.6, -36.8, -70.5, 0.59, 1.60, -0.57
-44.8, -163.1, 133.5, -0.27, -0.98, 0.93
24.0, -141.6, 108.2, 1.63, 1.21, 0.92
-52.2, 79.1, 9.9, 1.75, -0.05, -0.30
-21.2, 148.6, 106.7, -1.93, -1.94, 0.58
46.8, -23.8, -6.4, 0.39, 0.28, 1.53
42.8, -10.4, 55.1, -0.09, 1.26, -1.91
9.9, -166.7, 97.8, 0.02, 0.94, 0.42
20.5, -149.4, 107.4, 1.59, 0.29, 1.16
63.0, 139.0, 122.1, 0.45, 1.24, 1.73
25.8, 121.6, -112.3, -0.25, -1.99, 0.82
105.9, -152.8, -159.9, 0.29, 0.67, 1.84
72.9, 165.5, 179.6, -1.36, -0.02, -1.51
Collecting data ...
YPR(deg)-X,YPR(deg)-Y,YPR(deg)-Z,Acceleration(g)-X,Acceleration(g)-Y,Acceleration(g)-Z
12.0, -110.5, 125.7, 1.55, -0.66, 0.48
18.8, 28.9, 42.3, -1.87, -1.49, -1.64
-101.6, -173.2, 96.6, -0.21, 0.35, 0.42
13.3, 44.3, -64.7, 1.66, 1.57, -0.74
25.4, 179.7, -130.6, -0.66, 1.50, 1.29
178.0, 170.7, -113.1, -1.00, 1.96, 0.83
35.6, 141.6, -129.2, 0.85, -1.55, 1.99
-55.1, 29.6, -0.7, -1.88, 0.03, 1.84
-30.2, -60.3, -58.5, 1.74, 1.16, -0.71
52.2, -124.1, -133.8, 1.00, 0.81, 0.77
64.0, -62.1, -63.3, 1.41, 0.98, -0.49
-12.5, 25.8, 88.2, -1.92, 1.47, -0.08
25.9, -127.0, 119.2, 1.40, -1.38, 0.77
-9.0, 146.8, 91.1, 1.66, 1.50, 0.04
17.7, 155.5, -128.3, -1.22, 0.87, 0.68
39.1, -56.3, 53.5, 0.89, -0.91, -0.69
-25.9, -120.4, 94.1, 0.87, -0.99, 0.06
-0.7, -171.8, 141.8, -0.53, -1.32, 1.68
-84.2, -152.2, 132.3, -0.19, -0.92, 0.84
29.4, 151.0, 137.7, 1.75, -1.63, 1.80
-48.6, -43.1, 36.8, 0.07, -0.60, -0.83
-51.1, -50.8, 66.7, 1.80, 2.00, -0.87
71.0, -0.4, 19.4, -0.77, -0.72, 1.93
-35.4, -47.4, -55.0, 1.30, 1.58, -1.10
-36.9, -67.1, -68.8, -1.34, 1.36, -0.53
-55.4, 112.6, -125.7, 0.62, 0.90, 0.65
61.1, -62.1, -22.3, 1.03, 0.35, -0.85
17.9, 41.5, -69.3, 1.49, 1.92, -0.72
138.1, -173.4, 142.6, -0.49, -1.11, 1.45
44.5, -130.7, 142.6, 1.13, -0.95, 1.24
36.2, 36.2, -41.5, 1.40, 1.74, -1.96
122.6, -24.8, -17.2, 0.21, 0.57, -1.84
110.2, 167.3, 110.6, -1.26, 1.59, 0.91
Collecting data ...
YPR(deg)-X,YPR(deg)-Y,YPR(deg)-Z,Acceleration(g)-X,Acceleration(g)-Y,Acceleration(g)-Z
40.4, 138.0, 143.1, 1.89, -1.00, 1.33
-48.8, 66.0, -24.4, -0.02, 0.63, -1.38
-63.6, -115.3, 122.0, -1.63, -1.20, 0.75
43.7, -136.6, -172.3, 1.62, 0.32, -1.65
-11.2, -54.2, -7.4, 1.03, 0.15, -1.18
31.7, -151.8, 123.5, -0.32, -0.46, 0.31
-50.3, 66.5, 17.3, 1.05, -0.30, -0.97
-7.8, 178.9, -104.7, -0.68, -0.51, 0.92
-79.7, -128.0, 175.8, 0.24, -0.05, 0.67
-40.5, 103.1, -142.4, -0.01, 0.48, 0.62
24.9, -46.2, -89.4, 1.16, 1.72, -0.02
49.0, -6.5, 22.7, -0.41, -0.90, 1.85
-17.9, -7.6, 60.8, -0.54, -0.92, -0.52
-54.6, -46.9, 74.8, -1.14, 0.79, -0.88
-19.0, 18.0, -77.0, 1.82, 0.45, -1.03
77.6, -142.8, -152.5, 0.61, 0.90, 1.71
65.5, 120.7, 164.3, 1.47, -0.26, 0.95
-42.4, 93.8, 126.4, 0.69, -0.12, 0.09
-46.3, 176.1, -106.4, -1.12, -1.04, 0.86
25.9, -41.2, 67.0, 0.96, -1.95, -0.84
-60.7, 38.7, -18.1, 1.03, 0.81, 1.55
-2.9, -28.9, 88.1, -0.17, -1.32, -0.05
65.0, 14.8, 14.7, -1.56, -0.69, 1.33
-44.8, 84.8, 63.7, 0.98, -0.50, -0.25
-46.5, 3.5, 31.2, -0.88, -0.66, -1.10
29.9, -126.7, 124.0, 1.27, -1.24, 0.84
113.2, -170.6, -98.4, -0.40, 1.98, 0.29
-19.5, -24.3, -74.2, -0.06, 1.43, -0.41
-44.5, -75.6, -1.9, -1.18, 0.03, -0.91
-54.1, 134.0, -163.1, 0.46, 0.80, -1.39
-16.6, -98.4, 91.3, -1.18, -0.52, 0.01
-2.3, -19.4, 2.6, -0.22, -0.06, -1.38
-39.1, -32.2, -46.2, 0.78, 1.70, -1.63
-3.0, -165.5, -92.7, 0.12, -0.80, 0.15
4.7, 60.3, 73.5, 0.60, -1.47, -0.44
