Circular stir
Collecting data ...
YPR(deg)-X,YPR(deg)-Y,YPR(deg)-Z,Acceleration(g)-X,Acceleration(g)-Y,Acceleration(g)-Z
-114.0, 21.6, 59.3, -1.30, -1.05, -0.62
53.5, -155.3, -115.6, 0.47, -1.47, 1.21
-126.6, -20.1, -56.5, -0.75, 0.17, -0.12
29.9, 52.2, 42.1, 0.45, -1.42, -1.56
-71.7, -167.6, 132.6, -0.18, 1.84, 1.98
61.0, -68.8, -84.1, -1.07, 1.44, -0.15
71.7, -142.9, -149.4, 0.95, 1.18, -1.98
40.2, 168.1, -175.7, -1.17, 0.12, 1.69
15.2, -13.0, 71.2, 0.18, 0.22, -1.28
24.1, -108.0, -133.5, 1.70, 0.57, 0.55
Collecting data ...
YPR(deg)-X,YPR(deg)-Y,YPR(deg)-Z,Acceleration(g)-X,Acceleration(g)-Y,Acceleration(g)-Z
-49.7, 132.5, 179.8, 1.33, -0.01, 1.91
28.5, 22.7, 84.1, 1.84, 0.24, -0.39
-36.2, -38.1, -47.4, 0.01, 0.56, -0.51
4.4, -11.7, 85.6, -0.20, -1.85, -0.14
-25.9, 150.5, -116.4, -1.03, 0.71, 0.35
57.9, 16.0, 21.4, -1.21, -0.78, -1.99
61.5, -110.5, -108.1, -1.89, 0.96, 0.31
-39.1, -55.7, 28.1, 1.22, -0.59, -1.10
-30.8, -124.6, -110.2, -1.52, 1.98, 0.73
-25.3, -123.9, -103.0, 1.96, 1.67, 0.38
87.5, 14.1, -57.0, -1.12, 1.78, -1.16
28.4, 0.2, 79.2, -0.64, -1.19, -0.24
-83.9, 142.7, -111.8, -1.29, 0.78, 0.30
-18.4, 176.6, -107.8, -0.99, 1.42, 1.73
32.9, 18.6, -1.0, -0.91, 0.02, -0.74
-35.8, 41.4, 50.8, 1.23, -1.77, -1.45
-18.7, 150.0, 104.6, 1.08, 0.39, 0.94
79.3, 9.4, 36.2, -0.96, -0.69, -0.95
-27.8, -65.1, -66.8, 0.87, 0.70, -0.30
70.2, -164.5, 159.0, -0.60, -0.29, 0.75
-37.4, -53.9, -48.5, 0.73, 0.85, -0.75
-27.9, -33.0, -62.9, 0.79, -1.79, -1.13
-15.8, 44.4, -74.3, 1.78, 1.37, -0.39
20.7, 165.0, -107.8, -1.50, -1.61, 0.77
-54.0, -44.0, 48.5, 0.70, -1.18, -1.04
-59.3, 163.9, -150.7, -1.42, 1.03, 1.85
24.4, -0.1, 80.0, -0.80, 0.28, -0.65
40.1, 175.9, -118.5, -0.85, 0.55, 0.31
27.2, -15.6, 63.6, 0.28, 0.54, -1.71
39.2, 111.8, -125.6, -1.06, 1.41, 1.02
39.5, -14.6, 25.0, 0.13, -1.35, 1.12
-20.7, 179.3, 112.2, -0.76, -0.97, -1.97
-63.5, 137.7, 157.3, -0.90, -0.13, 0.32
-48.9, 151.9, -129.1, 1.86, -1.73, 1.85
110.1, 33.5, 62.7, -1.33, -1.02, -0.52
16.8, -47.0, 69.3, -1.96, 1.73, -0.85
Collecting data ...
YPR(deg)-X,YPR(deg)-Y,YPR(deg)-Z,Acceleration(g)-X,Acceleration(g)-Y,Acceleration(g)-Z
-80.3, 37.9, -84.7, 1.67, -1.71, -1.34
-55.1, -159.1, 172.8, 0.56, -0.36, -1.13
17.2, 48.6, -72.6, 1.19, 1.91, -0.60
1.7, -153.7, -102.2, 1.19, -0.58, 0.74
-74.3, -9.7, -39.6, -0.17, 1.34, -1.62
-27.6, -16.4, -65.8, 0.51, -0.77, -1.45
43.0, -169.1, 141.8, 0.07, -1.91, -1.57
58.4, -170.2, 166.1, -0.16, -0.50, -1.96
-49.9, -41.6, 2.3, -1.91, -0.12, 1.06
-43.2, 29.4, 24.6, 1.96, -1.13, 1.54
-10.5, 30.9, -53.5, -1.80, 1.72, -1.28
-6.1, 17.6, 81.1, -1.72, 0.13, -0.61
-82.6, 178.6, 94.4, -0.55, 1.28, 0.20
66.9, -125.7, -113.4, -0.97, -1.68, 1.00
51.5, 37.0, -27.7, -1.16, 0.40, -0.78
31.3, -62.5, 78.8, -1.02, -1.82, -0.37
-68.7, -55.7, 46.1, 1.85, -1.20, -1.17
59.3, -130.0, -141.3, -1.98, 1.38, 1.71
40.5, -19.1, -71.3, 0.30, -1.22, -0.94
-51.0, 21.8, 16.8, -1.78, -0.76, 1.48
62.0, 128.8, 112.1, 1.58, -1.25, 0.51
-69.5, 27.7, 47.2, -1.22, -0.65, -0.61
36.7, -121.4, -175.6, 0.22, 0.05, 0.64
112.4, -27.6, -77.2, -0.08, 1.40, -0.32
79.8, 59.3, 48.2, -1.99, -0.51, -0.46
-18.6, 25.9, 74.4, 1.48, 0.66, -0.93
-31.5, -141.8, -126.8, 1.72, -1.40, 1.95
-54.2, 78.6, -77.7, -1.30, 0.88, -0.19
40.8, -69.5, -4.6, -1.09, 0.11, -1.40
-15.9, 42.4, 49.3, 1.93, -1.05, -0.89
24.0, -143.4, 110.2, 1.91, 0.58, 1.27
Collecting data ...
YPR(deg)-X,YPR(deg)-Y,YPR(deg)-Z,Acceleration(g)-X,Acceleration(g)-Y,Acceleration(g)-Z
-59.6, 10.9, 24.6, -1.03, -0.98, 1.86
31.6, 38.6, -56.9, 0.72, -1.15, -1.86
-172.3, -4.3, 58.2, -0.45, -1.42, -0.88
-105.4, 151.1, -132.6, -1.08, 0.68, 0.63
37.1, -9.5, -43.7, -0.25, 1.21, -1.26
50.8, 68.1, 86.9, 0.17, -1.32, -0.07
20.6, 54.3, 63.3, 1.09, -1.53, -0.77
26.9, 75.9, 74.2, 0.31, -0.76, -0.21
-79.0, -46.8, 77.6, 0.51, -0.96, -0.21
-24.2, -49.9, -83.6, -1.66, -1.59, -0.27
71.6, 35.4, 57.7, 1.39, 1.52, -1.57
-15.8, -123.9, -90.6, -1.86, 1.75, 0.01
-10.0, 133.5, 122.8, 1.68, -1.47, 0.94
-49.7, -139.1, -127.9, 0.12, 0.54, 0.42
53.4, 139.8, 134.5, 0.91, 1.80, -1.85
43.6, 104.6, 95.7, 0.48, -0.76, 0.07
-144.2, 3.8, -50.5, -0.68, 1.09, -0.91
16.6, 100.3, -115.8, -1.49, 0.15, 0.06
13.2, 157.6, -98.5, -1.27, 1.36, 0.20
-1.2, 172.6, -91.1, -1.32, 0.72, 0.09
-12.7, -44.1, -82.0, 0.01, 0.74, -0.11
70.9, 69.9, -1.4, -1.56, 0.01, -0.31
54.7, 0.1, 1.6, -0.81, -0.07, 1.67
37.9, -54.0, -82.9, 1.22, 1.46, -0.18
-49.1, -100.9, 175.2, -0.04, -0.08, 0.92
66.5, 13.4, -42.1, -1.40, 1.65, -1.83
16.1, 153.4, -97.9, -1.87, -1.92, 0.29
36.7, 113.1, -127.6, -0.54, 1.26, 0.97
60.6, 177.5, 145.8, -0.94, -1.63, -1.60
20.0, -118.7, 148.2, 0.63, -0.39, 0.65
-64.1, -4.4, 43.7, -0.56, -1.45, -1.51
38.1, 122.7, -154.9, -1.91, 0.32, 0.70
12.0, -22.4, 81.5, -0.28, -1.00, -0.14
