Vertical chop
Collecting data ...
YPR(deg)-X,YPR(deg)-Y,YPR(deg)-Z,Acceleration(g)-X,Acceleration(g)-Y,Acceleration(g)-Z
-54.7, -20.2, -39.7, 0.22, 1.65, -1.99
21.0, 7.5, -71.5, -1.36, 0.55, -1.52
-52.3, 174.1, -163.2, -1.02, 0.90, -1.03
-57.0, -83.6, 22.2, 0.93, -0.07, -0.17
25.1, 14.4, 83.3, -1.91, -0.72, -0.56
50.4, 132.0, 111.9, 1.01, -1.92, 0.77
-35.5, 57.4, 55.8, -0.87, 1.78, -1.51
-105.8, -42.2, -21.7, -0.06, 0.25, -0.64
14.6, -23.3, 35.3, -0.20, -0.66, -0.93
-7.6, 112.5, 91.7, 0.50, -1.16, 0.04
32.7, -60.3, 70.5, -1.31, -1.82, -0.64
-29.2, 30.0, 59.0, -1.74, -1.58, -0.94
1.9, 163.2, 95.1, -1.34, 1.83, 0.19
-46.4, 128.4, -131.3, 0.70, 1.56, 1.38
-34.8, 125.4, -91.0, 1.40, 1.36, 0.03
-176.2, 0.2, -87.7, -0.69, -0.61, -0.13
9.8, -39.5, 82.4, 1.93, 0.82, -0.42
-26.3, 130.0, 97.7, 0.49, 1.66, 0.32
25.8, -136.6, 107.0, 1.20, -1.95, 0.60
43.6, 66.1, 17.7, 0.07, -0.44, -1.35

Collecting data ...
YPR(deg)-X,YPR(deg)-Y,YPR(deg)-Z,Acceleration(g)-X,Acceleration(g)-Y,Acceleration(g)-Z
-38.9, 166.7, -129.4, -1.39, -1.40, -1.86
16.7, 2.1, -45.2, -0.62, 0.53, -0.52
80.5, -137.9, -105.5, 1.30, -1.99, 0.56
-36.3, -0.6, 56.6, -0.55, 0.83, 1.91
-16.3, -16.8, -73.8, 1.08, 1.29, -1.54
57.0, 136.8, 126.9, 1.81, -1.38, 1.03
-54.4, -46.3, 66.2, -1.24, 1.08, -1.28
40.8, 141.8, -144.6, 1.11, 1.70, -1.61
-0.4, 33.4, 68.8, 1.88, 1.89, -0.82
-47.8, -77.5, 57.1, -0.40, -0.78, -0.51
-34.2, -126.5, 105.8, 1.94, -1.82, 0.51
-13.9, 30.2, 80.3, 1.47, 0.93, -0.54
22.8, -136.7, 102.0, -1.63, 0.80, 0.67
46.8, -45.7, -49.7, -1.79, -1.81, -1.86
-27.4, -52.8, -37.9, 0.46, 0.56, -0.72
-27.3, -47.6, -54.4, 1.66, 1.80, -1.29
44.5, 131.4, -144.3, 0.91, 1.21, 1.68
29.7, 119.1, -134.6, 1.61, 0.66, 0.64
28.2, 174.7, -119.9, -1.03, -0.87, 1.80
-2.7, 13.3, 85.6, -1.17, 2.00, -0.15
-25.9, 10.5, 72.3, -0.89, -1.03, -0.33
39.9, -156.0, 148.7, 0.09, -0.91, 1.49
45.0, 83.7, -35.9, 1.62, 0.37, -0.51
19.3, -138.6, 98.7, -1.83, 0.79, 0.49
-25.5, 113.5, -106.8, -0.38, 1.54, 0.46
15.5, -62.4, -12.6, 1.64, 0.26, -1.19
8.5, 61.9, 89.3, 0.47, -1.51, -0.02
49.6, -100.3, -165.5, 1.39, 0.09, 0.37
-17.7, 68.4, -53.9, 0.79, 0.80, -0.59
-4.8, 2.5, -64.4, -0.79, 1.96, -0.94
-11.9, -13.9, 86.0, 0.28, 0.06, -0.27
-3.6, 6.6, -80.1, -0.95, -1.82, -0.38
-14.6, -154.3, -101.5, 0.74, -1.09, 0.60
